ensemblgene,entrezgene,gene_name,path_description,path_ID
ENSG00000165475,51084,CRYL1,Pentose and glucuronate interconversions,path:hsa00040
ENSG00000103024,4832,NME3,Purine metabolism,path:hsa00230
ENSG00000103024,4832,NME3,Pyrimidine metabolism,path:hsa00240
ENSG00000175283,22845,DOLK,N-Glycan biosynthesis,path:hsa00510
ENSG00000187210,2650,GCNT1,Mucin type O-glycan biosynthesis,path:hsa00512
ENSG00000169105,113189,CHST14,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,path:hsa00532
ENSG00000176597,84002,B3GNT5,Glycosphingolipid biosynthesis - lacto and neolacto series,path:hsa00601
ENSG00000136628,2058,EPRS1,Porphyrin and chlorophyll metabolism,path:hsa00860
ENSG00000105755,23474,ETHE1,Sulfur metabolism,path:hsa00920
ENSG00000103024,4832,NME3,Drug metabolism - other enzymes,path:hsa00983
ENSG00000117560,356,FASLG,MAPK signaling pathway,path:hsa04010
ENSG00000011566,8491,MAP4K3,MAPK signaling pathway,path:hsa04010
ENSG00000144891,185,AGTR1,Calcium signaling pathway,path:hsa04020
ENSG00000169100,293,SLC25A6,Calcium signaling pathway,path:hsa04020
ENSG00000169100,293,SLC25A6,cGMP-PKG signaling pathway,path:hsa04022
ENSG00000144891,185,AGTR1,cGMP-PKG signaling pathway,path:hsa04022
ENSG00000196917,27198,HCAR1,cAMP signaling pathway,path:hsa04024
ENSG00000266964,5348,FXYD1,cAMP signaling pathway,path:hsa04024
ENSG00000117560,356,FASLG,Cytokine-cytokine receptor interaction,path:hsa04060
ENSG00000117560,356,FASLG,FoxO signaling pathway,path:hsa04068
ENSG00000089053,51433,ANAPC5,Cell cycle,path:hsa04110
ENSG00000089053,51433,ANAPC5,Ubiquitin mediated proteolysis,path:hsa04120
ENSG00000117560,356,FASLG,Apoptosis,path:hsa04210
ENSG00000144891,185,AGTR1,Vascular smooth muscle contraction,path:hsa04270
ENSG00000117362,51107,APH1A,Notch signaling pathway,path:hsa04330
ENSG00000080910,3080,CFHR2,Complement and coagulation cascades,path:hsa04610
ENSG00000169100,293,SLC25A6,Neutrophil extracellular trap formation,path:hsa04613
ENSG00000144891,185,AGTR1,Renin-angiotensin system,path:hsa04614
ENSG00000117560,356,FASLG,Natural killer cell mediated cytotoxicity,path:hsa04650
ENSG00000144891,185,AGTR1,AGE-RAGE signaling pathway in diabetic complications,path:hsa04933
ENSG00000117560,356,FASLG,Type I diabetes mellitus,path:hsa04940
