ensemblgene,entrezgene,gene_name,path_description,path_ID
ENSG00000113552,10007,GNPDA1,Metabolic pathways,path:hsa01100
ENSG00000126091,6487,ST3GAL3,Metabolic pathways,path:hsa01100
ENSG00000155085,221264,AK9,Metabolic pathways,path:hsa01100
ENSG00000160752,2224,FDPS,Metabolic pathways,path:hsa01100
ENSG00000143149,223,ALDH9A1,Metabolic pathways,path:hsa01100
ENSG00000166825,290,ANPEP,Metabolic pathways,path:hsa01100
ENSG00000134326,129607,CMPK2,Metabolic pathways,path:hsa01100
ENSG00000143797,129642,MBOAT2,Metabolic pathways,path:hsa01100
ENSG00000167508,4597,MVD,Metabolic pathways,path:hsa01100
ENSG00000105835,10135,NAMPT,Metabolic pathways,path:hsa01100
ENSG00000073737,10170,DHRS9,Metabolic pathways,path:hsa01100
ENSG00000131873,22856,CHSY1,Metabolic pathways,path:hsa01100
ENSG00000211456,22908,SACM1L,Metabolic pathways,path:hsa01100
ENSG00000179918,22928,SEPHS2,Metabolic pathways,path:hsa01100
ENSG00000283100,22933,SIRT2,Metabolic pathways,path:hsa01100
ENSG00000068903,22933,SIRT2,Metabolic pathways,path:hsa01100
ENSG00000153574,22934,RPIA,Metabolic pathways,path:hsa01100
ENSG00000060642,55650,PIGV,Metabolic pathways,path:hsa01100
ENSG00000277722,4696,NDUFA3,Metabolic pathways,path:hsa01100
ENSG00000157064,23057,NMNAT2,Metabolic pathways,path:hsa01100
ENSG00000139718,23067,SETD1B,Metabolic pathways,path:hsa01100
ENSG00000058866,1608,DGKG,Metabolic pathways,path:hsa01100
ENSG00000111775,1337,COX6A1,Metabolic pathways,path:hsa01100
ENSG00000117448,10327,AKR1A1,Metabolic pathways,path:hsa01100
ENSG00000152402,2977,GUCY1A2,Metabolic pathways,path:hsa01100
ENSG00000274359,4696,NDUFA3,Metabolic pathways,path:hsa01100
ENSG00000061918,2983,GUCY1B1,Metabolic pathways,path:hsa01100
ENSG00000186111,23396,PIP5K1C,Metabolic pathways,path:hsa01100
ENSG00000124523,23408,SIRT5,Metabolic pathways,path:hsa01100
ENSG00000096717,23411,SIRT1,Metabolic pathways,path:hsa01100
ENSG00000132837,29958,DMGDH,Metabolic pathways,path:hsa01100
ENSG00000132518,3000,GUCY2D,Metabolic pathways,path:hsa01100
ENSG00000276766,4696,NDUFA3,Metabolic pathways,path:hsa01100
ENSG00000197444,55753,OGDHL,Metabolic pathways,path:hsa01100
ENSG00000115275,7841,MOGS,Metabolic pathways,path:hsa01100
ENSG00000161267,622,BDH1,Metabolic pathways,path:hsa01100
ENSG00000197563,23556,PIGN,Metabolic pathways,path:hsa01100
ENSG00000100504,5836,PYGL,Metabolic pathways,path:hsa01100
ENSG00000143882,245973,ATP6V1C2,Metabolic pathways,path:hsa01100
ENSG00000275724,4696,NDUFA3,Metabolic pathways,path:hsa01100
ENSG00000179593,247,ALOX15B,Metabolic pathways,path:hsa01100
ENSG00000162551,249,ALPL,Metabolic pathways,path:hsa01100
ENSG00000163286,251,ALPG,Metabolic pathways,path:hsa01100
ENSG00000103502,10423,CDIPT,Metabolic pathways,path:hsa01100
ENSG00000170340,10678,B3GNT2,Metabolic pathways,path:hsa01100
ENSG00000144644,339896,GADL1,Metabolic pathways,path:hsa01100
ENSG00000275605,4696,NDUFA3,Metabolic pathways,path:hsa01100
ENSG00000168710,10768,AHCYL1,Metabolic pathways,path:hsa01100
ENSG00000128965,79094,CHAC1,Metabolic pathways,path:hsa01100
ENSG00000160282,10841,FTCD,Metabolic pathways,path:hsa01100
ENSG00000281775,10841,FTCD,Metabolic pathways,path:hsa01100
ENSG00000198162,10905,MAN1A2,Metabolic pathways,path:hsa01100
ENSG00000127184,1350,COX7C,Metabolic pathways,path:hsa01100
ENSG00000108479,2584,GALK1,Metabolic pathways,path:hsa01100
ENSG00000141012,2588,GALNS,Metabolic pathways,path:hsa01100
ENSG00000127540,10975,UQCR11,Metabolic pathways,path:hsa01100
ENSG00000214013,2595,GANC,Metabolic pathways,path:hsa01100
ENSG00000196139,8644,AKR1C3,Metabolic pathways,path:hsa01100
ENSG00000139044,283358,B4GALNT3,Metabolic pathways,path:hsa01100
ENSG00000138735,8654,PDE5A,Metabolic pathways,path:hsa01100
ENSG00000198130,26275,HIBCH,Metabolic pathways,path:hsa01100
ENSG00000105679,26330,GAPDHS,Metabolic pathways,path:hsa01100
ENSG00000174684,11041,B4GAT1,Metabolic pathways,path:hsa01100
ENSG00000133063,1118,CHIT1,Metabolic pathways,path:hsa01100
ENSG00000118094,11181,TREH,Metabolic pathways,path:hsa01100
ENSG00000110721,1119,CHKA,Metabolic pathways,path:hsa01100
ENSG00000099998,2687,GGT5,Metabolic pathways,path:hsa01100
ENSG00000278365,4696,NDUFA3,Metabolic pathways,path:hsa01100
ENSG00000143919,79823,CAMKMT,Metabolic pathways,path:hsa01100
ENSG00000172893,1717,DHCR7,Metabolic pathways,path:hsa01100
ENSG00000139629,11226,GALNT6,Metabolic pathways,path:hsa01100
ENSG00000128918,8854,ALDH1A2,Metabolic pathways,path:hsa01100
ENSG00000164405,27089,UQCRQ,Metabolic pathways,path:hsa01100
ENSG00000143942,494143,CHAC2,Metabolic pathways,path:hsa01100
ENSG00000276061,4696,NDUFA3,Metabolic pathways,path:hsa01100
ENSG00000174886,126328,NDUFA11,Metabolic pathways,path:hsa01100
ENSG00000125779,80025,PANK2,Metabolic pathways,path:hsa01100
ENSG00000100412,50,ACO2,Metabolic pathways,path:hsa01100
ENSG00000083444,5351,PLOD1,Metabolic pathways,path:hsa01100
ENSG00000152952,5352,PLOD2,Metabolic pathways,path:hsa01100
ENSG00000241935,112817,HOGA1,Metabolic pathways,path:hsa01100
ENSG00000163106,27306,HPGDS,Metabolic pathways,path:hsa01100
ENSG00000148334,80142,PTGES2,Metabolic pathways,path:hsa01100
ENSG00000115652,80146,UXS1,Metabolic pathways,path:hsa01100
ENSG00000124767,2739,GLO1,Metabolic pathways,path:hsa01100
ENSG00000112699,2762,GMDS,Metabolic pathways,path:hsa01100
ENSG00000167889,146664,MGAT5B,Metabolic pathways,path:hsa01100
ENSG00000102575,54,ACP5,Metabolic pathways,path:hsa01100
ENSG00000124155,51604,PIGT,Metabolic pathways,path:hsa01100
ENSG00000099377,80270,HSD3B7,Metabolic pathways,path:hsa01100
ENSG00000086544,80271,ITPKC,Metabolic pathways,path:hsa01100
ENSG00000274958,3705,ITPK1,Metabolic pathways,path:hsa01100
ENSG00000115944,9167,COX7A2L,Metabolic pathways,path:hsa01100
ENSG00000131730,1160,CKMT2,Metabolic pathways,path:hsa01100
ENSG00000135677,2799,GNS,Metabolic pathways,path:hsa01100
ENSG00000112293,2822,GPLD1,Metabolic pathways,path:hsa01100
ENSG00000161533,51,ACOX1,Metabolic pathways,path:hsa01100
ENSG00000162066,51005,AMDHD2,Metabolic pathways,path:hsa01100
ENSG00000283447,4719,NDUFS1,Metabolic pathways,path:hsa01100
ENSG00000257218,283459,GATC,Metabolic pathways,path:hsa01100
ENSG00000004779,4706,NDUFAB1,Metabolic pathways,path:hsa01100
ENSG00000159337,283748,PLA2G4D,Metabolic pathways,path:hsa01100
ENSG00000166428,122618,PLD4,Metabolic pathways,path:hsa01100
ENSG00000168350,123099,DEGS2,Metabolic pathways,path:hsa01100
ENSG00000247626,92935,MARS2,Metabolic pathways,path:hsa01100
ENSG00000278488,93100,NAPRT,Metabolic pathways,path:hsa01100
ENSG00000167741,124975,GGT6,Metabolic pathways,path:hsa01100
ENSG00000183077,125061,AFMID,Metabolic pathways,path:hsa01100
ENSG00000186010,51079,NDUFA13,Metabolic pathways,path:hsa01100
ENSG00000248144,126,ADH1C,Metabolic pathways,path:hsa01100
ENSG00000116353,51102,MECR,Metabolic pathways,path:hsa01100
