"ensemblgene"	"entrezgene"	"gene_name"	"path_description"	"path_ID"
"ENSG00000184983"	"4700"	"NDUFA6"	"Oxidative phosphorylation"	"path:hsa00190"
"ENSG00000277365"	"4700"	"NDUFA6"	"Oxidative phosphorylation"	"path:hsa00190"
"ENSG00000167863"	"10476"	"ATP5PD"	"Oxidative phosphorylation"	"path:hsa00190"
"ENSG00000281013"	"4700"	"NDUFA6"	"Oxidative phosphorylation"	"path:hsa00190"
"ENSG00000272765"	"4700"	"NDUFA6"	"Oxidative phosphorylation"	"path:hsa00190"
"ENSG00000169020"	"521"	"ATP5ME"	"Oxidative phosphorylation"	"path:hsa00190"
"ENSG00000273397"	"4700"	"NDUFA6"	"Oxidative phosphorylation"	"path:hsa00190"
"ENSG00000241837"	"539"	"ATP5PO"	"Oxidative phosphorylation"	"path:hsa00190"
"ENSG00000073737"	"10170"	"DHRS9"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000165475"	"51084"	"CRYL1"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000106605"	"644"	"BLVRA"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000277365"	"4700"	"NDUFA6"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000167863"	"10476"	"ATP5PD"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000072778"	"37"	"ACADVL"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000169020"	"521"	"ATP5ME"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000281013"	"4700"	"NDUFA6"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000185900"	"84197"	"POMK"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000181915"	"84890"	"ADO"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000140650"	"5373"	"PMM2"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000121897"	"11019"	"LIAS"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000177239"	"11253"	"MAN1B1"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000136267"	"1607"	"DGKB"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000198682"	"9060"	"PAPSS2"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000156471"	"9791"	"PTDSS1"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000273397"	"4700"	"NDUFA6"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000059691"	"5188"	"GATB"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000241837"	"539"	"ATP5PO"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000172987"	"60495"	"HPSE2"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000175283"	"22845"	"DOLK"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000144591"	"29926"	"GMPPA"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000136628"	"2058"	"EPRS1"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000072506"	"3028"	"HSD17B10"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000272765"	"4700"	"NDUFA6"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000105755"	"23474"	"ETHE1"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000187210"	"2650"	"GCNT1"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000103024"	"4832"	"NME3"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000117009"	"8564"	"KMO"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000176597"	"84002"	"B3GNT5"	"Metabolic pathways"	"path:hsa01100"
"ENSG00000184983"	"4700"	"NDUFA6"	"Metabolic pathways"	"path:hsa01100"
